phone number,country code,area code,line number,,,,
1-232-632-3441,1,232,6323441,,,,
1-809-105-3833,1,809,1053833,,,,
1-910-523-2091,1,910,5232091,,,,
(672) 521-6442,1,672,5216442,,,,
(825) 931-2086,1,825,9312086,,,,
(647) 999-3935,1,647,9993935,,,,
(709) 734-3612,1,709,7343612,,,,
(548) 934-1556,1,548,9341556,,,,
(306) 271-8057,1,306,2718057,,,,
(438) 148-4865,1,438,1484865,,,,
(416) 500-3116,1,416,5003116,,,,
(902) 543-3384,1,902,5433384,,,,
(709) 957-6364,1,709,9576364,,,,
(672) 871-1045,1,672,8711045,,,,
(226) 122-7048,1,226,1227048,,,,
(514) 708-3790,1,514,7083790,,,,
(519) 357-1044,1,519,3571044,,,,
(672) 270-3409,1,672,2703409,,,,
(819) 884-7657,1,819,8847657,,,,
(867) 596-3417,1,867,5963417,,,,
(289) 450-1901,1,289,4501901,,,,
(879) 321-2870,1,879,3212870,,,,
(514) 309-6265,1,514,3096265,,,,
(548) 997-8174,1,548,9978174,,,,
(365) 220-9933,1,365,2209933,,,,
(431) 969-8419,1,431,9698419,,,,
(365) 122-1613,1,365,1221613,,,,
(672) 907-7515,1,672,9077515,,,,
(438) 303-1780,1,438,3031780,,,,
(367) 945-0799,1,367,9450799,,,,
(780) 535-2675,1,780,5352675,,,,
(902) 758-3263,1,902,7583263,,,,
(819) 926-0136,1,819,9260136,,,,
(506) 974-2410,1,506,9742410,,,,
(587) 808-3093,1,587,8083093,,,,
(306) 406-3219,1,306,4063219,,,,
(249) 797-0157,1,249,7970157,,,,
(250) 919-7129,1,250,9197129,,,,
(902) 414-9006,1,902,4149006,,,,
(647) 836-3174,1,647,8363174,,,,
(306) 373-0293,1,306,3730293,,,,
(780) 255-2549,1,780,2552549,,,,
(226) 644-4838,1,226,6444838,,,,
(778) 509-8700,1,778,5098700,,,,
(705) 917-2543,1,705,9172543,,,,
(647) 926-8106,1,647,9268106,,,,
(428) 792-3151,1,428,7923151,,,,
(902) 322-9452,1,902,3229452,,,,
(819) 107-6586,1,819,1076586,,,,
(249) 292-1601,1,249,2921601,,,,
(672) 782-3459,1,672,7823459,,,,
(879) 508-7675,1,879,5087675,,,,
(782) 568-6106,1,782,5686106,,,,
(825) 181-5387,1,825,1815387,,,,
(879) 800-2905,1,879,8002905,,,,
(365) 847-3460,1,365,8473460,,,,
(450) 838-7532,1,450,8387532,,,,
(873) 911-5183,1,873,9115183,,,,
(807) 780-4487,1,807,7804487,,,,
(250) 478-7296,1,250,4787296,,,,
(647) 189-3325,1,647,1893325,,,,
(807) 952-4678,1,807,9524678,,,,
(819) 996-7675,1,819,9967675,,,,
(705) 771-6623,1,705,7716623,,,,
(782) 991-7898,1,782,9917898,,,,
(587) 775-4578,1,587,7754578,,,,
(604) 377-4546,1,604,3774546,,,,
(403) 431-2865,1,403,4312865,,,,
(604) 624-2408,1,604,6242408,,,,
(367) 545-0237,1,367,5450237,,,,
(905) 957-4158,1,905,9574158,,,,
(236) 580-3102,1,236,5803102,,,,
(782) 843-2306,1,782,8432306,,,,
(709) 747-7064,1,709,7477064,,,,
(905) 545-8208,1,905,5458208,,,,
(613) 203-0949,1,613,2030949,,,,
(306) 288-7842,1,306,2887842,,,,
(306) 988-2658,1,306,9882658,,,,
(579) 258-4896,1,579,2584896,,,,
(782) 945-6222,1,782,9456222,,,,
(782) 661-9408,1,782,6619408,,,,
(428) 898-3026,1,428,8983026,,,,
(226) 827-0354,1,226,8270354,,,,
(613) 344-6422,1,613,3446422,,,,
(343) 156-4277,1,343,1564277,,,,
(548) 249-7452,1,548,2497452,,,,
(778) 581-9951,1,778,5819951,,,,
(506) 312-2907,1,506,3122907,,,,
(514) 721-4995,1,514,7214995,,,,
(519) 486-0693,1,519,4860693,,,,
(613) 761-3701,1,613,7613701,,,,
(782) 584-2477,1,782,5842477,,,,
(403) 959-0081,1,403,9590081,,,,
(902) 749-0079,1,902,7490079,,,,
(705) 910-3850,1,705,9103850,,,,
(343) 617-2662,1,343,6172662,,,,
(236) 171-1361,1,236,1711361,,,,
(343) 659-1339,1,343,6591339,,,,
(782) 170-5699,1,782,1705699,,,,
(416) 523-1856,1,416,5231856,,,,
(902) 289-9113,1,902,2899113,,,,
(226) 476-2558,1,226,4762558,,,,
(416) 250-2716,1,416,2502716,,,,
027-525-0301,81,027,5250301,,,,
013-186-5795,81,013,1865795,,,,
027-423-0559,81,027,4230559,,,,
071-508-9653,81,071,5089653,,,,
012-316-0170,81,012,3160170,,,,
096-052-0338,81,096,0520338,,,,
059-925-0930,81,059,9250930,,,,
033-128-9287,81,033,1289287,,,,
096-050-5064,81,096,0505064,,,,
024-937-6170,81,024,9376170,,,,
028-510-9063,81,028,5109063,,,,
016-908-8388,81,016,9088388,,,,
075-787-1003,81,075,7871003,,,,
032-558-0371,81,032,5580371,,,,
064-422-6735,81,064,4226735,,,,
091-470-2039,81,091,4702039,,,,
060-282-5477,81,060,2825477,,,,
058-660-6213,81,058,6606213,,,,
084-778-9707,81,084,7789707,,,,
036-276-2134,81,036,2762134,,,,
059-107-3185,81,059,1073185,,,,
054-468-8433,81,054,4688433,,,,
022-132-7594,81,022,1327594,,,,
046-342-7457,81,046,3427457,,,,
006-207-5353,81,006,2075353,,,,
038-135-4437,81,038,1354437,,,,
097-061-9028,81,097,0619028,,,,
045-538-9617,81,045,5389617,,,,
092-622-8086,81,092,6228086,,,,
088-977-0758,81,088,9770758,,,,
049-920-7948,81,049,9207948,,,,
052-593-0770,81,052,5930770,,,,
017-427-9732,81,017,4279732,,,,
029-270-3983,81,029,2703983,,,,
021-668-6139,81,021,6686139,,,,
070-501-1354,81,070,5011354,,,,
037-513-2300,81,037,5132300,,,,
026-178-7192,81,026,1787192,,,,
008-525-4429,81,008,5254429,,,,
050-307-5325,81,050,3075325,,,,
056-784-9015,81,056,7849015,,,,
019-237-0518,81,019,2370518,,,,
060-903-5425,81,060,9035425,,,,
097-818-2987,81,097,8182987,,,,
071-253-6206,81,071,2536206,,,,
034-233-1158,81,034,2331158,,,,
067-442-7725,81,067,4427725,,,,
011-683-3611,81,011,6833611,,,,
064-005-2566,81,064,0052566,,,,
029-558-6646,81,029,5586646,,,,
037-998-5516,81,037,9985516,,,,
073-541-3687,81,073,5413687,,,,
007-105-4917,81,007,1054917,,,,
048-494-8777,81,048,4948777,,,,
058-243-3170,81,058,2433170,,,,
003-906-5761,81,003,9065761,,,,
012-997-7073,81,012,9977073,,,,
028-304-7671,81,028,3047671,,,,
002-870-5953,81,002,8705953,,,,
088-128-2545,81,088,1282545,,,,
083-692-7275,81,083,6927275,,,,
081-395-5163,81,081,3955163,,,,
045-993-7198,81,045,9937198,,,,
035-024-4327,81,035,0244327,,,,
093-100-5067,81,093,1005067,,,,
094-053-2332,81,094,0532332,,,,
055-347-1052,81,055,3471052,,,,
033-721-3540,81,033,7213540,,,,
011-760-0770,81,011,7600770,,,,
053-170-3597,81,053,1703597,,,,
062-649-8623,81,062,6498623,,,,
031-902-8027,81,031,9028027,,,,
081-279-8370,81,081,2798370,,,,
032-701-0590,81,032,7010590,,,,
047-916-6190,81,047,9166190,,,,
063-038-7413,81,063,0387413,,,,
055-568-8698,81,055,5688698,,,,
091-001-3068,81,091,0013068,,,,
071-110-9865,81,071,1109865,,,,
059-085-6299,81,059,0856299,,,,
095-371-2926,81,095,3712926,,,,
076-686-2855,81,076,6862855,,,,
046-197-0195,81,046,1970195,,,,
003-217-1462,81,003,2171462,,,,
020-608-1765,81,020,6081765,,,,
086-398-1797,81,086,3981797,,,,
035-691-9911,81,035,6919911,,,,
078-843-3687,81,078,8433687,,,,
080-579-8443,81,080,5798443,,,,
050-254-5121,81,050,2545121,,,,
014-694-8911,81,014,6948911,,,,
098-531-5732,81,098,5315732,,,,
002-353-6299,81,002,3536299,,,,
079-961-7722,81,079,9617722,,,,
088-985-8202,81,088,9858202,,,,
006-826-0992,81,006,8260992,,,,
005-248-5765,81,005,2485765,,,,
085-009-1564,81,085,0091564,,,,
013-564-3534,81,013,5643534,,,,
027-569-7927,81,027,5697927,,,,
(004) 17236103,49,4,17236103,,,,
(02780) 8451263,49,2780,8451263,,,,
(090) 68040208,49,90,68040208,,,,
(038500) 489214,49,38500,489214,,,,
(0182) 38938243,49,182,38938243,,,,
(05397) 9490976,49,5397,9490976,,,,
(033513) 130019,49,33513,130019,,,,
(017) 71765927,49,17,71765927,,,,
(09347) 0009069,49,9347,9069,,,,
(038112) 474588,49,38112,474588,,,,
(038628) 249554,49,38628,249554,,,,
(0030) 92893918,49,30,92893918,,,,
(037) 19122815,49,37,19122815,,,,
(00247) 4241086,49,247,4241086,,,,
(032670) 194718,49,32670,194718,,,,
(03531) 5539925,49,3531,5539925,,,,
(0842) 74731343,49,842,74731343,,,,
(032032) 704697,49,32032,704697,,,,
(01528) 4332271,49,1528,4332271,,,,
(06149) 8990551,49,6149,8990551,,,,
(079) 01169273,49,79,1169273,,,,
(0666) 24201021,49,666,24201021,,,,
(0828) 16149957,49,828,16149957,,,,
(013) 65192855,49,13,65192855,,,,
(06509) 8806252,49,6509,8806252,,,,
(028) 55571465,49,28,55571465,,,,
(086) 07406205,49,86,7406205,,,,
(036026) 438458,49,36026,438458,,,,
(068) 32494988,49,68,32494988,,,,
(0694) 23525857,49,694,23525857,,,,
(0770) 96794863,49,770,96794863,,,,
(075) 82232693,49,75,82232693,,,,
(000) 68371829,49,0,68371829,,,,
(038311) 234060,49,38311,234060,,,,
(0626) 90459168,49,626,90459168,,,,
(035155) 036149,49,35155,36149,,,,
(046) 65753696,49,46,65753696,,,,
(07272) 6009343,49,7272,6009343,,,,
(039554) 001315,49,39554,1315,,,,
(048) 89456292,49,48,89456292,,,,
(036985) 819016,49,36985,819016,,,,
(06263) 0477865,49,6263,477865,,,,
(053) 48504224,49,53,48504224,,,,
(039217) 962479,49,39217,962479,,,,
(015) 20278055,49,15,20278055,,,,
(035814) 109581,49,35814,109581,,,,
(087) 28630833,49,87,28630833,,,,
(034466) 383974,49,34466,383974,,,,
(034487) 997464,49,34487,997464,,,,
(036980) 184537,49,36980,184537,,,,
(07276) 9701287,49,7276,9701287,,,,
(035676) 793816,49,35676,793816,,,,
(0219) 25577688,49,219,25577688,,,,
(038710) 818811,49,38710,818811,,,,
(0188) 31640533,49,188,31640533,,,,
(0688) 76083084,49,688,76083084,,,,
(0369) 04470363,49,369,4470363,,,,
(038427) 049186,49,38427,49186,,,,
(0210) 22957108,49,210,22957108,,,,
(0617) 09776456,49,617,9776456,,,,
(0378) 42968660,49,378,42968660,,,,
(03558) 8878096,49,3558,8878096,,,,
(015) 22894024,49,15,22894024,,,,
(048) 00100695,49,48,100695,,,,
(0230) 12455350,49,230,12455350,,,,
(02345) 6676178,49,2345,6676178,,,,
(032378) 419767,49,32378,419767,,,,
(0844) 97928467,49,844,97928467,,,,
(03588) 5947921,49,3588,5947921,,,,
(052) 58491645,49,52,58491645,,,,
(030) 99858559,49,30,99858559,,,,
(06633) 2960650,49,6633,2960650,,,,
(03603) 8061764,49,3603,8061764,,,,
(06164) 8043350,49,6164,8043350,,,,
(066) 41224335,49,66,41224335,,,,
(021) 48220938,49,21,48220938,,,,
(0496) 56932527,49,496,56932527,,,,
(013) 78464400,49,13,78464400,,,,
(000) 61667267,49,0,61667267,,,,
(03484) 3013564,49,3484,3013564,,,,
(07595) 3983482,49,7595,3983482,,,,
(0238) 46240522,49,238,46240522,,,,
(04646) 2710543,49,4646,2710543,,,,
(0103) 68394926,49,103,68394926,,,,
(06255) 8931389,49,6255,8931389,,,,
(059) 14601817,49,59,14601817,,,,
(033) 67694478,49,33,67694478,,,,
(0022) 31091218,49,22,31091218,,,,
(037542) 503750,49,37542,503750,,,,
(05566) 9367630,49,5566,9367630,,,,
(08960) 9963446,49,8960,9963446,,,,
(037060) 623753,49,37060,623753,,,,
(0153) 03902458,49,153,3902458,,,,
(03568) 2745386,49,3568,2745386,,,,
(0382) 45930881,49,382,45930881,,,,
(035986) 671964,49,35986,671964,,,,
(097) 41488800,49,97,41488800,,,,
(0795) 74703690,49,795,74703690,,,,
(031999) 055836,49,31999,55836,,,,
(008) 27219432,49,8,27219432,,,,
0800 1111,44,0800,1111,,,,
(0121) 807 0799,44,0121,8070799,,,,
056 4779 5660,44,056,47795660,,,,
07624 309577,44,07624,309577,,,,
0843 124 0546,44,0843,1240546,,,,
(026) 1308 7335,44,026,13087335,,,,
0500 731930,44,0500,731930,,,,
0500 996423,44,0500,996423,,,,
056 3945 0258,44,056,39450258,,,,
056 2938 7120,44,056,29387120,,,,
07209 232603,44,07209,232603,,,,
055 1678 0901,44,055,16780901,,,,
056 7478 6095,44,056,74786095,,,,
(012893) 19349,44,012893,19349,,,,
055 3679 5787,44,055,36795787,,,,
056 8883 9519,44,056,88839519,,,,
0800 481 6727,44,0800,4816727,,,,
07624 570643,44,07624,570643,,,,
(0119) 974 9705,44,0119,9749705,,,,
076 8141 2986,44,076,81412986,,,,
0800 1111,44,0800,1111,,,,
0397 035 9225,44,0397,0359225,,,,
056 8947 1350,44,056,89471350,,,,
076 0452 2727,44,076,04522727,,,,
(021) 1399 6207,44,021,13996207,,,,
0330 237 5256,44,0330,2375256,,,,
0342 441 8895,44,0342,4418895,,,,
(01270) 54409,44,01270,54409,,,,
07624 398002,44,07624,398002,,,,
076 8405 5844,44,076,84055844,,,,
07624 618418,44,07624,618418,,,,
056 0026 4293,44,056,00264293,,,,
(01782) 95250,44,01782,95250,,,,
(0171) 535 8833,44,0171,5358833,,,,
(019974) 85302,44,019974,85302,,,,
(0111) 397 2854,44,0111,3972854,,,,
07680 853409,44,07680,853409,,,,
(0191) 127 2723,44,0191,1272723,,,,
07173 624107,44,07173,624107,,,,
0800 060 7901,44,0800,0607901,,,,
0845 46 40,44,0845,4640,,,,
056 1087 7253,44,056,10877253,,,,
0920 320 4494,44,0920,3204494,,,,
0898 408 0678,44,0898,4080678,,,,
0845 46 47,44,0845,4647,,,,
055 9733 1582,44,055,97331582,,,,
(016977) 0193,44,016977,0193,,,,
0800 073 0121,44,0800,0730121,,,,
(025) 5399 3489,44,025,53993489,,,,
0800 1111,44,0800,1111,,,,
(016977) 2426,44,016977,2426,,,,
076 6914 3982,44,076,69143982,,,,
0835 650 2152,44,0835,6502152,,,,
0800 074027,44,0800,074027,,,,
(01051) 11613,44,01051,11613,,,,
0800 351990,44,0800,351990,,,,
0927 391 0616,44,0927,3910616,,,,
0364 946 6351,44,0364,9466351,,,,
0913 954 3248,44,0913,9543248,,,,
056 8345 6993,44,056,83456993,,,,
070 8802 1781,44,070,88021781,,,,
(0101) 365 0629,44,0101,3650629,,,,
076 6847 9615,44,076,68479615,,,,
(0161) 374 0202,44,0161,3740202,,,,
0500 254696,44,0500,254696,,,,
(0181) 943 3807,44,0181,9433807,,,,
07831 813542,44,07831,813542,,,,
056 7214 5042,44,056,72145042,,,,
(01714) 508606,44,01714,508606,,,,
056 8455 7324,44,056,84557324,,,,
0845 46 48,44,0845,4648,,,,
(016977) 9180,44,016977,9180,,,,
07624 655466,44,07624,655466,,,,
(018273) 36723,44,018273,36723,,,,
(017674) 44730,44,017674,44730,,,,
0898 183 8044,44,0898,1838044,,,,
0800 1111,44,0800,1111,,,,
(016977) 7722,44,016977,7722,,,,
07624 876801,44,07624,876801,,,,
07624 545758,44,07624,545758,,,,
(0161) 775 1412,44,0161,7751412,,,,
076 1823 7563,44,076,18237563,,,,
(01339) 517691,44,01339,517691,,,,
(0116) 994 9841,44,0116,9949841,,,,
070 9283 5705,44,070,92835705,,,,
0845 46 49,44,0845,4649,,,,
(0116) 791 2165,44,0116,7912165,,,,
(01560) 06149,44,01560,06149,,,,
07326 927713,44,07326,927713,,,,
055 6546 5501,44,055,65465501,,,,
070 9654 6605,44,070,96546605,,,,
076 0225 7321,44,076,02257321,,,,
07268 290122,44,07268,290122,,,,
(0171) 141 9738,44,0171,1419738,,,,
0800 534157,44,0800,534157,,,,
(021) 9680 7045,44,021,96807045,,,,
07253 867273,44,07253,867273,,,,
(0116) 149 8275,44,0116,1498275,,,,
0800 100627,44,0800,100627,,,,
0800 166 1695,44,0800,1661695,,,,
07 13 19 67 85,33,07,13196785,,,,
02 74 77 42 03,33,02,74774203,,,,
01 41 24 24 68,33,01,41242468,,,,
08 73 41 52 05,33,08,73415205,,,,
06 42 21 45 72,33,06,42214572,,,,
03 80 74 57 07,33,03,80745707,,,,
02 58 83 78 90,33,02,58837890,,,,
07 55 39 74 35,33,07,55397435,,,,
08 24 40 36 51,33,08,24403651,,,,
01 98 82 21 73,33,01,98822173,,,,
04 18 00 29 10,33,04,18002910,,,,
04 48 04 29 40,33,04,48042940,,,,
03 67 11 27 76,33,03,67112776,,,,
07 23 47 10 73,33,07,23471073,,,,
05 34 95 32 72,33,05,34953272,,,,
07 56 99 09 60,33,07,56990960,,,,
04 79 71 62 30,33,04,79716230,,,,
05 84 70 51 76,33,05,84705176,,,,
03 30 87 48 36,33,03,30874836,,,,
05 61 66 15 93,33,05,61661593,,,,
08 85 89 81 32,33,08,85898132,,,,
05 11 54 33 82,33,05,11543382,,,,
07 32 00 59 22,33,07,32005922,,,,
03 92 78 52 22,33,03,92785222,,,,
03 49 74 79 68,33,03,49747968,,,,
09 27 26 81 63,33,09,27268163,,,,
08 36 58 15 90,33,08,36581590,,,,
01 39 69 89 84,33,01,39698984,,,,
05 93 25 32 08,33,05,93253208,,,,
09 35 51 34 04,33,09,35513404,,,,
04 90 14 02 43,33,04,90140243,,,,
06 01 71 96 44,33,06,01719644,,,,
04 35 24 50 65,33,04,35245065,,,,
07 77 45 88 39,33,07,77458839,,,,
07 68 59 65 04,33,07,68596504,,,,
09 70 19 16 76,33,09,70191676,,,,
08 57 61 22 24,33,08,57612224,,,,
08 85 19 24 66,33,08,85192466,,,,
09 20 66 67 86,33,09,20666786,,,,
06 93 86 83 89,33,06,93868389,,,,
03 28 36 97 77,33,03,28369777,,,,
06 35 11 20 01,33,06,35112001,,,,
02 67 53 48 71,33,02,67534871,,,,
06 07 42 66 42,33,06,07426642,,,,
06 79 30 81 09,33,06,79308109,,,,
09 93 19 36 41,33,09,93193641,,,,
09 49 40 96 61,33,09,49409661,,,,
04 91 47 63 22,33,04,91476322,,,,
06 50 82 71 60,33,06,50827160,,,,
05 35 74 33 83,33,05,35743383,,,,
06 33 85 92 96,33,06,33859296,,,,
05 31 66 23 62,33,05,31662362,,,,
04 42 19 75 16,33,04,42197516,,,,
02 31 54 30 81,33,02,31543081,,,,
07 72 06 71 87,33,07,72067187,,,,
02 64 11 22 86,33,02,64112286,,,,
04 90 85 78 82,33,04,90857882,,,,
01 06 33 86 20,33,01,06338620,,,,
01 24 35 62 77,33,01,24356277,,,,
08 29 63 50 85,33,08,29635085,,,,
04 50 62 83 66,33,04,50628366,,,,
08 60 04 45 70,33,08,60044570,,,,
06 72 08 44 91,33,06,72084491,,,,
03 24 70 26 92,33,03,24702692,,,,
09 81 20 73 80,33,09,81207380,,,,
03 28 88 02 93,33,03,28880293,,,,
07 07 34 95 90,33,07,07349590,,,,
08 36 78 21 43,33,08,36782143,,,,
09 10 67 64 97,33,09,10676497,,,,
08 83 51 91 18,33,08,83519118,,,,
06 19 81 65 93,33,06,19816593,,,,
08 56 88 95 27,33,08,56889527,,,,
02 95 86 34 67,33,02,95863467,,,,
02 01 16 22 66,33,02,01162266,,,,
08 66 90 45 13,33,08,66904513,,,,
07 85 87 24 93,33,07,85872493,,,,
08 78 10 04 74,33,08,78100474,,,,
06 90 19 98 80,33,06,90199880,,,,
04 66 65 31 41,33,04,66653141,,,,
02 47 50 70 22,33,02,47507022,,,,
08 88 66 44 86,33,08,88664486,,,,
06 22 36 75 64,33,06,22367564,,,,
08 08 64 53 57,33,08,08645357,,,,
09 52 72 93 10,33,09,52729310,,,,
03 76 52 88 24,33,03,76528824,,,,
09 71 43 86 20,33,09,71438620,,,,
07 27 52 58 39,33,07,27525839,,,,
03 38 48 05 76,33,03,38480576,,,,
09 14 63 61 67,33,09,14636167,,,,
09 29 09 47 79,33,09,29094779,,,,
08 48 01 42 23,33,08,48014223,,,,
01 10 95 99 05,33,01,10959905,,,,
05 17 14 35 42,33,05,17143542,,,,
03 51 18 12 86,33,03,51181286,,,,
01 03 03 22 59,33,01,03032259,,,,
06 81 37 31 92,33,06,81373192,,,,
07 57 26 29 51,33,07,57262951,,,,
06 88 32 83 64,33,06,88328364,,,,
05 38 72 50 67,33,05,38725067,,,,
08 80 01 36 60,33,08,80013660,,,,
(09) 2896 8797,61,09, 2896 8797,,,,
(03) 5918 7907,61,03, 5918 7907,,,,
(06) 1136 8708,61,06, 1136 8708,,,,
(04) 6390 5348,61,04, 6390 5348,,,,
(06) 8343 0140,61,06, 8343 0140,,,,
(03) 2551 9900,61,03, 2551 9900,,,,
(01) 2285 3101,61,01, 2285 3101,,,,
(09) 5682 3242,61,09, 5682 3242,,,,
(01) 3175 9823,61,01, 3175 9823,,,,
(07) 5697 4394,61,07, 5697 4394,,,,
(09) 2192 1913,61,09, 2192 1913,,,,
(08) 1464 3870,61,08, 1464 3870,,,,
(06) 9335 6461,61,06, 9335 6461,,,,
(08) 7066 7598,61,08, 7066 7598,,,,
(01) 7007 4794,61,01, 7007 4794,,,,
(01) 7194 3619,61,01, 7194 3619,,,,
(07) 4282 6847,61,07, 4282 6847,,,,
(09) 1541 8103,61,09, 1541 8103,,,,
(07) 5154 0146,61,07, 5154 0146,,,,
(08) 2769 6264,61,08, 2769 6264,,,,
(01) 9057 1554,61,01, 9057 1554,,,,
(08) 6636 4553,61,08, 6636 4553,,,,
(04) 9531 1324,61,04, 9531 1324,,,,
(09) 2936 4383,61,09, 2936 4383,,,,
(09) 4332 9646,61,09, 4332 9646,,,,
(02) 8471 5640,61,02, 8471 5640,,,,
(05) 0064 2576,61,05, 0064 2576,,,,
(09) 4477 0183,61,09, 4477 0183,,,,
(07) 9968 8800,61,07, 9968 8800,,,,
(04) 8197 1669,61,04, 8197 1669,,,,
(04) 6317 6648,61,04, 6317 6648,,,,
(02) 0929 6918,61,02, 0929 6918,,,,
(01) 4757 2485,61,01, 4757 2485,,,,
(02) 3350 1747,61,02, 3350 1747,,,,
(01) 4025 9370,61,01, 4025 9370,,,,
(05) 8217 2588,61,05, 8217 2588,,,,
(07) 2023 2226,61,07, 2023 2226,,,,
(09) 4193 0651,61,09, 4193 0651,,,,
(07) 6529 1752,61,07, 6529 1752,,,,
(06) 5937 9566,61,06, 5937 9566,,,,
(04) 7900 7973,61,04, 7900 7973,,,,
(04) 2592 9266,61,04, 2592 9266,,,,
(02) 6191 5094,61,02, 6191 5094,,,,
(09) 9014 6033,61,09, 9014 6033,,,,
(08) 9212 3379,61,08, 9212 3379,,,,
(09) 4195 2651,61,09, 4195 2651,,,,
(05) 8117 4959,61,05, 8117 4959,,,,
(01) 8331 5053,61,01, 8331 5053,,,,
(05) 7927 3307,61,05, 7927 3307,,,,
(04) 3469 7301,61,04, 3469 7301,,,,
(07) 2297 2924,61,07, 2297 2924,,,,
(09) 3751 5063,61,09, 3751 5063,,,,
(08) 7840 6701,61,08, 7840 6701,,,,
(03) 5722 6541,61,03, 5722 6541,,,,
(05) 4538 8405,61,05, 4538 8405,,,,
(07) 2579 1477,61,07, 2579 1477,,,,
(05) 6720 4967,61,05, 6720 4967,,,,
(05) 3098 8642,61,05, 3098 8642,,,,
(01) 9701 8645,61,01, 9701 8645,,,,
(01) 7070 6217,61,01, 7070 6217,,,,
(09) 2710 7535,61,09, 2710 7535,,,,
(09) 0269 0959,61,09, 0269 0959,,,,
(03) 0521 3983,61,03, 0521 3983,,,,
